timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.68634E+12,14654,HTTP Request,200,OK,BLC 1-94,text,TRUE,,177933,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,105,0,59
1.68634E+12,105,HTTP Request-0,301,Moved Permanently,BLC 1-94,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,105,0,59
1.68634E+12,14549,HTTP Request-1,200,OK,BLC 1-94,text,TRUE,,177584,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1408,0,151
1.68634E+12,15316,HTTP Request,200,OK,BLC 1-28,text,TRUE,,177946,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,93,0,47
1.68634E+12,93,HTTP Request-0,301,Moved Permanently,BLC 1-28,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,93,0,47
1.68634E+12,15223,HTTP Request-1,200,OK,BLC 1-28,text,TRUE,,177597,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2272,0,151
1.68634E+12,14742,HTTP Request,200,OK,BLC 1-87,text,TRUE,,177956,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,111,0,54
1.68634E+12,111,HTTP Request-0,301,Moved Permanently,BLC 1-87,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,111,0,54
1.68634E+12,14630,HTTP Request-1,200,OK,BLC 1-87,text,TRUE,,177607,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1505,0,153
1.68634E+12,14684,HTTP Request,200,OK,BLC 1-93,text,TRUE,,177954,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,100,0,50
1.68634E+12,100,HTTP Request-0,301,Moved Permanently,BLC 1-93,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,100,0,50
1.68634E+12,14584,HTTP Request-1,200,OK,BLC 1-93,text,TRUE,,177605,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2159,0,156
1.68634E+12,14772,HTTP Request,200,OK,BLC 1-84,text,TRUE,,177917,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,110,0,59
1.68634E+12,110,HTTP Request-0,301,Moved Permanently,BLC 1-84,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,110,0,59
1.68634E+12,14661,HTTP Request-1,200,OK,BLC 1-84,text,TRUE,,177568,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1574,0,156
1.68634E+12,14633,HTTP Request,200,OK,BLC 1-100,text,TRUE,,177940,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,99,0,48
1.68634E+12,99,HTTP Request-0,301,Moved Permanently,BLC 1-100,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,99,0,48
1.68634E+12,14534,HTTP Request-1,200,OK,BLC 1-100,text,TRUE,,177591,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1432,0,175
1.68634E+12,14997,HTTP Request,200,OK,BLC 1-65,text,TRUE,,177948,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,109,0,54
1.68634E+12,109,HTTP Request-0,301,Moved Permanently,BLC 1-65,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,109,0,54
1.68634E+12,14888,HTTP Request-1,200,OK,BLC 1-65,text,TRUE,,177599,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2091,0,159
1.68634E+12,15199,HTTP Request,200,OK,BLC 1-45,text,TRUE,,177961,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,94,0,47
1.68634E+12,94,HTTP Request-0,301,Moved Permanently,BLC 1-45,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,94,0,47
1.68634E+12,15105,HTTP Request-1,200,OK,BLC 1-45,text,TRUE,,177612,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2015,0,158
1.68634E+12,15468,HTTP Request,200,OK,BLC 1-19,text,TRUE,,177932,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,98,0,48
1.68634E+12,98,HTTP Request-0,301,Moved Permanently,BLC 1-19,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,98,0,48
1.68634E+12,15370,HTTP Request-1,200,OK,BLC 1-19,text,TRUE,,177583,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2139,0,149
1.68634E+12,15866,HTTP Request,200,OK,BLC 1-4,text,TRUE,,177948,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,98,0,48
